Open,High,Low,Close,Volume,Ticker,Change
7300,7300,7300,7300,0,PPH,0.0
7680,7680,7680,7680,185,PPH,0.05205479452054784
7920,7920,7920,7920,400,PPH,0.03125
7920,7920,7920,7920,0,PPH,0.0
7630,7680,7630,7680,23300,PPH,-0.030303030303030276
7740,7740,7590,7680,21935,PPH,0.0
7680,7680,7680,7680,17,PPH,0.0
7680,7680,7680,7680,11500,PPH,0.0
7680,7680,7680,7680,7600,PPH,0.0
7680,7680,7680,7680,12602,PPH,0.0
7780,7810,7780,7780,26300,PPH,0.01302083333333326
7680,7680,7680,7680,15033,PPH,-0.01285347043701801
7680,7680,7680,7680,71,PPH,0.0
7680,7680,7680,7680,2600,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,10100,PPH,0.0
7630,7630,7630,7630,500,PPH,-0.00651041666666663
7680,7680,7680,7680,600,PPH,0.006553079947575258
7680,7680,7680,7680,6,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7680,7780,7680,7780,15700,PPH,0.01302083333333326
7680,7680,7680,7680,11000,PPH,-0.01285347043701801
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,6400,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,4200,PPH,0.0
7680,7680,7680,7680,43100,PPH,0.0
7680,7680,7680,7680,70,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7300,7300,7300,7300,800,PPH,-0.04947916666666663
7300,7300,7300,7300,0,PPH,0.0
7300,7300,7300,7300,0,PPH,0.0
7680,7680,7680,7680,101,PPH,0.05205479452054784
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,4600,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,100,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7630,7680,7630,7680,6300,PPH,0.0
7630,7630,7630,7630,0,PPH,-0.00651041666666663
7590,7630,7590,7630,3300,PPH,0.0
7590,7590,7590,7590,0,PPH,-0.005242463958060273
7490,7490,7490,7490,100,PPH,-0.013175230566534912
7680,7680,7680,7680,20000,PPH,0.025367156208277786
7680,7680,7680,7680,50000,PPH,0.0
7680,7680,7680,7680,26600,PPH,0.0
7680,7810,7680,7810,40800,PPH,0.01692708333333326
7680,7680,7680,7680,0,PPH,-0.016645326504481472
8210,8210,7680,7830,1300,PPH,0.01953125
7830,7890,7830,7890,51000,PPH,0.00766283524904221
7830,7830,7680,7680,1600,PPH,-0.026615969581749055
7830,7830,7830,7830,100,PPH,0.01953125
7830,7830,7830,7830,0,PPH,0.0
7830,7830,7830,7830,0,PPH,0.0
7680,7680,7680,7680,10600,PPH,-0.019157088122605415
7680,7680,7680,7680,11000,PPH,0.0
7680,7680,7680,7680,2000,PPH,0.0
7750,7750,7680,7680,42000,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,2000,PPH,0.0
7680,7680,7680,7680,1100,PPH,0.0
7680,7680,7680,7680,1000,PPH,0.0
7680,7680,7680,7680,11000,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7940,7940,6720,6720,46500,PPH,-0.125
9110,9110,7680,7680,6400,PPH,0.1428571428571428
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,100,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7680,7680,7680,7680,0,PPH,0.0
7940,7940,7890,7890,42300,PPH,0.02734375
7890,7890,7890,7890,0,PPH,0.0
7890,7890,7890,7890,0,PPH,0.0
7890,7890,7890,7890,0,PPH,0.0
7890,7890,7890,7890,0,PPH,0.0
7890,7890,7890,7890,0,PPH,0.0
7890,7890,7890,7890,33,PPH,0.0
7430,7430,7430,7430,100,PPH,-0.0583016476552598
7430,7430,7430,7430,0,PPH,0.0
7430,7430,7430,7430,0,PPH,0.0
7430,7430,7430,7430,0,PPH,0.0
6860,6860,6860,6860,100,PPH,-0.0767160161507402
6860,6860,6860,6860,0,PPH,0.0
6860,6860,6860,6860,0,PPH,0.0
6930,6930,6660,6660,1000,PPH,-0.029154518950437303
6720,6720,6720,6720,1000,PPH,0.009009009009008917
6720,6720,6720,6720,0,PPH,0.0
6720,6720,6720,6720,10,PPH,0.0
6720,6720,6720,6720,0,PPH,0.0
6720,6720,6720,6720,0,PPH,0.0
6720,6720,6720,6720,0,PPH,0.0
6720,6720,6720,6720,0,PPH,0.0
6720,6720,6720,6720,0,PPH,0.0
6720,6720,6720,6720,0,PPH,0.0
7160,7160,7160,7160,100,PPH,0.06547619047619047
7230,7230,7230,7230,100,PPH,0.009776536312849249
7230,7230,7230,7230,0,PPH,0.0
