Open,High,Low,Close,Volume,Ticker,Change,upper_band,lower_band
9460,9770,8119,8180,3124600,ABB,0.0,0.0,0.0
8420,8610,8240,8240,1886191,ABB,0.007334963325183352,0.0,0.0
8490,8550,8240,8300,1396514,ABB,0.00728155339805836,0.0,0.0
8300,8300,8119,8240,1188032,ABB,-0.0072289156626506035,0.0,0.0
8240,8300,8000,8000,1668474,ABB,-0.029126213592232997,0.0,0.0
8119,8119,7630,8060,2694485,ABB,0.007500000000000062,0.0,0.0
7940,8490,7940,8300,1600793,ABB,0.02977667493796532,0.0,0.0
8300,8420,8180,8240,1282512,ABB,-0.0072289156626506035,0.0,0.0
8300,8420,8240,8360,1895056,ABB,0.014563106796116498,0.0,0.0
8360,8420,8300,8360,1430979,ABB,0.0,0.0,0.0
8360,8420,8180,8300,1199367,ABB,-0.0071770334928229484,0.0,0.0
8300,8420,8180,8240,1344451,ABB,-0.0072289156626506035,0.0,0.0
8240,8300,8180,8300,1011050,ABB,0.00728155339805836,0.0,0.0
8240,8670,8240,8610,3513332,ABB,0.03734939759036138,0.0,0.0
8610,8970,8610,8730,1699857,ABB,0.013937282229965264,0.0,0.0
8790,8850,7940,8240,1669363,ABB,-0.056128293241695326,0.0,0.0
8240,8360,7630,8180,1809537,ABB,-0.007281553398058249,0.0,0.0
8240,8360,8119,8360,968994,ABB,0.022004889975550057,0.0,0.0
8360,8490,8180,8240,768123,ABB,-0.014354066985645897,0.0,0.0
8240,8240,8000,8119,634245,ABB,-0.01468446601941753,0.0,0.0
8119,8119,7630,7690,1887092,ABB,-0.052839019583692526,8665.46632894313,7845.433671056872
7750,7940,7510,7570,795936,ABB,-0.015604681404421283,8729.438906282689,7714.461093717312
7510,7570,6530,6590,3779320,ABB,-0.1294583883751651,9008.079387985512,7264.820612014488
6530,7390,6410,7330,864558,ABB,0.11229135053110784,9028.705079964911,7153.194920035088
7330,7510,7020,7080,427872,ABB,-0.034106412005457054,9081.13057789171,7008.769422108289
7200,7330,6840,7260,1788081,ABB,0.025423728813559254,9096.029369248634,6913.870630751366
7200,7570,7140,7510,957886,ABB,0.03443526170798905,9068.082028375738,6862.81797162426
7510,7690,7330,7630,1986722,ABB,0.015978695073235683,9039.262541810513,6830.637458189486
7570,7810,7510,7810,1295769,ABB,0.023591087811271283,8995.324160921196,6819.575839078803
7750,7870,7450,7750,1463214,ABB,-0.007682458386683688,8946.411074560452,6807.4889254395475
7630,7750,7570,7750,628355,ABB,0.0,8902.137508237842,6796.762491762158
7750,7810,7630,7810,2926458,ABB,0.007741935483871032,8865.30596108568,6790.594038914319
7810,8060,7750,7940,852997,ABB,0.016645326504481472,8826.196126683884,6793.703873316116
8000,8060,7870,7940,541969,ABB,0.0,8727.046544281535,6825.853455718465
7940,8000,7870,7870,729909,ABB,-0.008816120906801062,8579.698539142015,6887.201460857985
7870,7870,7750,7870,605861,ABB,0.0,8531.759763653688,6898.140236346311
7870,7940,7750,7810,655957,ABB,-0.007623888182973326,8486.615672501655,6906.284327498343
7870,7870,7750,7750,372620,ABB,-0.007682458386683688,8396.124355890423,6935.775644109576
7750,7810,7690,7750,679000,ABB,0.0,8324.282182897083,6958.617817102918
7750,7870,7750,7810,1004444,ABB,0.007741935483871032,8278.208555601654,6973.791444398347
7940,7940,7810,7810,1097250,ABB,0.0,8288.646023364183,6975.353976635818
7870,7870,7750,7810,1338919,ABB,0.0,8304.436219479212,6983.563780520788
7810,8060,7810,7940,2346474,ABB,0.016645326504481472,8173.334385900394,7249.665614099606
7940,8000,7810,7870,1283697,ABB,-0.008816120906801062,8170.1144112515185,7306.8855887484815
7940,8060,7870,8000,2594485,ABB,0.016518424396442244,8108.195844891458,7460.804155108542
8000,8670,8000,8550,6415601,ABB,0.06875000000000009,8236.706074236652,7461.293925763349
8610,8850,8420,8610,2289910,ABB,0.007017543859649145,8384.682847624083,7423.317152375918
8670,8730,8420,8490,2180547,ABB,-0.013937282229965153,8473.615609339484,7420.384390660515
8420,8610,8420,8550,2372801,ABB,0.007067137809187329,8567.794484386412,7400.2055156135875
8550,8610,8490,8610,2448443,ABB,0.007017543859649145,8660.122421021399,7393.877578978601
8610,8910,8550,8910,6346277,ABB,0.03484320557491283,8811.622322806008,7358.377677193993
8850,9340,8850,9160,4548460,ABB,0.02805836139169471,9004.412554197905,7300.587445802095
9160,9340,9030,9160,3639299,ABB,0.0,9164.736563637036,7262.263436362963
9160,9160,8910,9030,3632585,ABB,-0.014192139737991272,9273.656004804823,7262.343995195177
8970,9030,8850,8910,2044043,ABB,-0.013289036544850474,9345.319462411593,7294.680537588407
8910,8970,8670,8850,2299036,ABB,-0.006734006734006703,9397.278172480579,7340.721827519422
8730,8730,8300,8550,2921161,ABB,-0.03389830508474578,9403.965931282224,7408.034068717775
8550,8670,8420,8550,1734031,ABB,0.0,9398.6888264276,7493.3111735724
8550,8550,8180,8550,1565814,ABB,0.0,9384.05122348338,7587.948776516619
8550,8790,8490,8730,1616109,ABB,0.021052631578947434,9379.66974701236,7684.33025298764
8850,8970,8730,8850,3520350,ABB,0.013745704467353903,9373.744262403974,7794.255737596025
9030,9100,8910,8910,3160686,ABB,0.006779661016949046,9355.265313972412,7922.734686027588
9030,9160,8730,9100,6379211,ABB,0.021324354657688005,9363.606330603001,8030.393669396998
9100,10070,9100,9830,8148379,ABB,0.08021978021978016,9520.189630372635,8069.810369627366
9890,10680,9770,10500,6477154,ABB,0.06815869786368256,9878.331884056874,7961.6681159431255
10620,10680,10070,10320,4994357,ABB,-0.017142857142857126,10127.289971352979,7889.710028647021
10440,10990,10190,10740,6305788,ABB,0.04069767441860472,10446.98348338108,7783.016516618919
12330,12330,10740,10930,7216754,ABB,0.017690875232774683,10752.045873892932,7721.954126107068
10990,12210,10680,10870,2497067,ABB,-0.0054894784995425105,10990.218372728574,7715.781627271426
10870,11290,10870,11230,6079610,ABB,0.03311867525298995,11274.546285355393,7693.453714644606
11290,11350,10620,10800,5918919,ABB,-0.03829029385574356,11436.135863133568,7720.864136866432
10930,10930,10560,10930,3147210,ABB,0.012037037037037068,11603.430737206989,7730.569262793012
10870,10990,10680,10740,3043022,ABB,-0.017383348581884728,11721.767192763358,7770.232807236643
10800,10800,10010,10380,6027301,ABB,-0.03351955307262566,11779.025629443686,7847.974370556314
10440,10560,10070,10500,1752980,ABB,0.011560693641618602,11834.392283903488,7951.607716096512
10680,10740,10320,10440,2242837,ABB,-0.005714285714285672,11866.172358144355,8078.827641855646
10440,10500,9950,10010,2855735,ABB,-0.04118773946360155,11823.211731412042,8267.788268587958
10010,10320,9770,10190,3079570,ABB,0.01798201798201804,11767.69358613549,8487.30641386451
10070,10380,9770,9890,2083817,ABB,-0.02944062806673209,11672.965082441922,8716.034917558078
9950,10010,9770,9950,1122140,ABB,0.006066734074823055,11579.878722269426,8931.121277730574
9950,10260,9890,10190,1867030,ABB,0.024120603015075348,11480.85875271869,9164.14124728131
10190,10500,10190,10440,3091510,ABB,0.024533856722276814,11359.268712392526,9438.731287607474
10070,10500,9950,10380,2519480,ABB,-0.005747126436781658,11216.872668293525,9709.127331706475
10320,10680,10320,10560,3356560,ABB,0.01734104046242768,11195.732001562697,9803.267998437303
10500,11110,10380,10990,9123091,ABB,0.04071969696969702,11252.324103679124,9795.675896320876
10930,11110,10680,10870,5115141,ABB,-0.010919017288444022,11288.419941377622,9814.580058622378
10870,11230,10680,11050,5881726,ABB,0.016559337626494974,11331.646323472492,9802.353676527508
11050,11170,10870,10870,3986339,ABB,-0.01628959276018105,11323.378693406656,9804.621306593344
10930,10990,10740,10930,3235146,ABB,0.005519779208831732,11331.646323472492,9802.353676527508
10930,11170,10800,10990,4826484,ABB,0.0054894784995425105,11284.369590811133,9825.630409188867
10990,11660,10990,11480,6584869,ABB,0.04458598726114649,11417.538472250986,9760.461527749014
11420,11600,11170,11290,3731120,ABB,-0.016550522648083654,11478.89678288201,9735.10321711799
11290,11350,10990,11170,3279691,ABB,-0.010628875110717417,11533.050164446395,9723.949835553605
11170,11290,11050,11290,3022172,ABB,0.0107430617726052,11614.795408152058,9733.204591847942
11230,11840,11170,11660,6307742,ABB,0.03277236492471203,11761.574669463074,9702.425330536926
11660,12150,11600,11900,5010102,ABB,0.020583190394511064,11942.76095907708,9667.23904092292
12030,12030,11720,11840,3551158,ABB,-0.005042016806722671,12057.900447735405,9735.099552264595
11840,12090,11720,11960,4302393,ABB,0.010135135135135087,12186.623901227002,9783.376098772998
11900,12450,11900,12210,5979051,ABB,0.020903010033444858,12305.32387670427,9896.67612329573
12330,13740,12210,13120,10970976,ABB,0.07452907452907453,12637.984312569424,9881.015687430576
13120,13980,12940,13860,8030163,ABB,0.05640243902439024,13142.789398719735,9743.210601280265
13860,15570,13550,15260,12708209,ABB,0.101010101010101,14001.25182058403,9366.74817941597
15570,15750,14350,14890,11380879,ABB,-0.02424639580602883,14532.82975433894,9286.17024566106
14890,14890,14040,14410,8133179,ABB,-0.03223640026863672,14862.41735974834,9341.58264025166
14410,15690,14220,15260,8006045,ABB,0.05898681471200562,15346.153229915953,9284.846770084047
15140,15810,14830,15080,5990691,ABB,-0.011795543905635641,15706.914333961227,9345.085666038773
15140,15200,13860,14040,6443115,ABB,-0.06896551724137934,15845.91621873217,9505.08378126783
13980,14350,12760,12940,6273536,ABB,-0.07834757834757833,15840.162524270803,9717.837475729197
12820,13860,12390,13430,5587021,ABB,0.03786707882534768,15855.138085552759,9952.861914447241
13430,13610,12880,13000,3337254,ABB,-0.03201787043931492,15821.941924867308,10187.058075132692
13000,14100,13000,13740,3141491,ABB,0.056923076923076854,15861.634654130514,10373.365345869486
13800,13980,13430,13610,3419709,ABB,-0.009461426491994218,15852.089505821788,10614.910494178212
13740,13740,13120,13430,2407856,ABB,-0.013225569434239581,15788.231148181552,10904.768851818448
13430,13430,13060,13250,2240017,ABB,-0.013402829486224843,15698.309885504987,11190.690114495013
13250,13250,12820,13190,2385688,ABB,-0.00452830188679243,15626.306628498565,11415.693371501435
13190,13430,13120,13370,2043605,ABB,0.013646702047005244,15566.742125095192,11622.257874904808
13370,13670,13060,13190,1566222,ABB,-0.013462976813762184,15475.445339678039,11848.554660321961
13190,13670,13060,13550,4251778,ABB,0.02729340409401071,15380.53965784846,12102.46034215154
13550,14220,13550,13860,4238488,ABB,0.022878228782287735,15304.856508916377,12343.143491083623
13860,14220,13670,13740,1624247,ABB,-0.008658008658008698,15301.160433700215,12408.839566299785
13740,13800,13430,13740,1733334,ABB,0.0,15296.023151162412,12401.976848837588
13800,14100,13740,14100,4464844,ABB,0.026200873362445476,15092.85867128502,12489.14132871498
14100,14590,14100,14220,4105325,ABB,0.008510638297872353,14976.349867703155,12538.650132296845
14280,14410,14040,14160,2413082,ABB,-0.00421940928270037,14941.75394296405,12548.24605703595
14040,14350,13860,14280,3566154,ABB,0.008474576271186418,14706.354393270003,12685.645606729997
14280,14530,14280,14410,3225907,ABB,0.0091036414565826,14519.935128741525,12805.064871258475
14470,14770,14220,14650,5270616,ABB,0.01665510062456632,14640.630729767665,12745.369270232335
14650,15140,13430,13980,5271799,ABB,-0.04573378839590447,14633.96569112649,12856.03430887351
13980,14220,13550,14220,3432010,ABB,0.01716738197424883,14684.110471259643,12884.889528740357
14220,14220,13670,13740,2408492,ABB,-0.03375527426160341,14646.806609691208,12996.193390308792
